Date;PMI
05.02.2024;55,8
29.12.2023;56,2
05.12.2023;52,2
03.11.2023;53,6
04.10.2023;55,4
05.09.2023;57,6
03.08.2023;54
05.07.2023;56,8
05.06.2023;54,3
04.05.2023;55,9
05.04.2023;58,1
03.03.2023;53,1
03.02.2023;48,7
30.12.2022;45,9
05.12.2022;48,3
03.11.2022;43,7
05.10.2022;51,1
05.09.2022;49,9
03.08.2022;54,7
05.07.2022;51,7
03.06.2022;48,5
06.05.2022;44,5
05.04.2022;38,1
03.03.2022;52,1
03.02.2022;49,8
30.12.2021;49,5
03.12.2021;47,1
03.11.2021;48,8
05.10.2021;50,5
03.09.2021;49,3
04.08.2021;53,5
05.07.2021;56,5
03.06.2021;57,5
06.05.2021;55,2
05.04.2021;55,8
03.03.2021;52,2
03.02.2021;52,7
31.12.2020;48
03.12.2020;48,2
05.11.2020;46,9
05.10.2020;53,7
03.09.2020;58,2
05.08.2020;58,5
03.07.2020;47,8
03.06.2020;35,9
07.05.2020;12,2
03.04.2020;37,1
04.03.2020;52
05.02.2020;54,1
31.12.2019;53,1
04.12.2019;55,6
06.11.2019;55,8
03.10.2019;53,6
04.09.2019;52,1
05.08.2019;50,4
03.07.2019;49,7
05.06.2019;52
06.05.2019;52,6
03.04.2019;54,4
05.03.2019;55,3
05.02.2019;54,9
29.12.2018;54,4
05.12.2018;55,6
06.11.2018;56,9
03.10.2018;54,7
05.09.2018;53,3
03.08.2018;52,8
04.07.2018;52,3
05.06.2018;54,1
07.05.2018;55,5
04.04.2018;53,7
05.03.2018;56,5
05.02.2018;55,1
29.12.2017;56,8
05.12.2017;57,4
03.11.2017;53,9
04.10.2017;55,2
05.09.2017;54,2
03.08.2017;52,6
05.07.2017;55,5
05.06.2017;56,3
04.05.2017;56,1
05.04.2017;56,6
03.03.2017;55,5
03.02.2017;58,4
05.12.2016;54,7
03.11.2016;52,7
05.10.2016;53
05.09.2016;53,5
03.08.2016;55
05.07.2016;53,8
03.06.2016;51,8
06.05.2016;54,2
05.04.2016;52
03.03.2016;50,9
